C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\.venv\Scripts\python.exe C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\feature_selection\fs1_xgb_autofe.py
df_train_features.shape=(750000, 221)
len(FEATURES_ALREADY_FOUND)=0
Starting Forward Feature Selection.
Original Features (always selected): ['Sex', 'Age', 'Height', 'Weight', 'Duration', 'Heart_Rate', 'Body_Temp']
Initial features to select: []
Initial features to discard: []
Scoring baseline model
Baseline score: -0.06312 ((750000, 7)) (6.97s)
Round 1/25
102/220 Feature GroupByThenRank_Sex_Height                                                                     : score -0.06329 ((750000, 8))
103/220 Feature Minus_Sex_Age                                                                                  : score -0.06286 ((750000, 8))
104/220 Feature CombineThenFreq_Heart_Rate_Body_Temp                                                           : score -0.06655 ((750000, 8))
105/220 Feature Residual_Heart_Rate                                                                            : score -0.06312 ((750000, 8))
106/220 Feature CombineThenFreq_Duration_Heart_Rate                                                            : score -0.07423 ((750000, 8))
107/220 Feature Multiply_Age_Body_Temp                                                                         : score -0.06275 ((750000, 8))
108/220 Feature GroupByThenRank_Height_Weight                                                                  : score -0.06305 ((750000, 8))
109/220 Feature Multiply_Sex_Duration                                                                          : score -0.06325 ((750000, 8))
110/220 Feature Divide_Weight_Age                                                                              : score -0.06315 ((750000, 8))
111/220 Feature Plus_Sex_Age                                                                                   : score -0.06286 ((750000, 8))
112/220 Feature Divide_Body_Temp_Weight                                                                        : score -0.06435 ((750000, 8))
113/220 Feature Plus_Sex_Weight                                                                                : score -0.06309 ((750000, 8))
114/220 Feature GroupByThenMean_Height_Heart_Rate                                                              : score -0.06315 ((750000, 8))
115/220 Feature Combine_Age_Body_Temp                                                                          : score -0.07150 ((750000, 8))
116/220 Feature Divide_Body_Temp_Age                                                                           : score -0.06317 ((750000, 8))
117/220 Feature GroupByThenMean_Heart_Rate_Age                                                                 : score -0.06276 ((750000, 8))
118/220 Feature Min_Age_Heart_Rate                                                                             : score -0.06279 ((750000, 8))
